,generators,generators,generators,links,links,links,links,stores,stores
,OCGT,onwind,solar,battery charge,battery discharge,electrolysis,fuel cell,battery storage,Hydrogen storage
mean,20732.16440667221,55555.43926467787,22786.43656557526,427.1900808365377,1345.393580997539,0.0,0.0,2212.5878150384474,0.0
std,2165.987867470802,12678.457330380685,9571.023378593145,170.72595933376923,445.2342338810297,0.0,0.0,1009.1257264044931,0.0
min,15885.365068319601,3357.7981651376153,11732.568355438878,178.71524765498688,651.1457129258175,0.0,0.0,765.627714841961,0.0
25%,19492.365258828515,54859.917142373066,16670.10996662337,299.22921064126797,1034.7726452028032,0.0,0.0,1519.7670386315522,0.0
50%,20642.307155322862,59283.80708480965,20691.263668706215,414.25788799975635,1325.4572464852893,0.0,0.0,2177.3761949089035,0.0
75%,22179.637553647874,63048.922393790126,24063.507356394468,524.0773932831968,1522.435606161196,0.0,0.0,2634.345665916826,0.0
max,26979.61467889908,66609.86915854148,55213.583266650196,802.520245245556,2393.163498592074,0.0,0.0,4598.441005257036,0.0
