,generators,generators,generators,links,links,stores
,OCGT,onwind,solar,electrolysis,fuel cell,Hydrogen storage
mean,22020.172276236182,55480.06850216035,22227.697489592258,0.0,0.0,0.0
std,1935.4358606996727,12822.462309028839,9704.308960665381,0.0,0.0,0.0
min,17294.11036981365,2266.3879107981247,10967.229553567846,0.0,0.0,0.0
25%,21046.941496184452,54891.81324041773,15670.968428539614,0.0,0.0,0.0
50%,21783.521739130432,59278.651685393255,20300.194779463873,0.0,0.0,0.0
75%,23337.08424468969,62700.2208997626,23445.025458362878,0.0,0.0,0.0
max,27813.479768192487,66098.03921568627,55429.84154929577,0.0,0.0,0.0
