,generators,generators,generators,links,links,links,links,stores,stores
,OCGT,onwind,solar,battery charge,battery discharge,electrolysis,fuel cell,battery storage,Hydrogen storage
mean,18706.645848830794,62969.755141446345,23529.43054178077,1443.9754110917515,2945.5431603953043,0.0,0.0,7422.779573690651,0.0
std,2087.4364638758448,7734.923820701373,7825.197400416644,1058.6007499446503,1517.9366987802614,0.0,0.0,5255.734757022495,0.0
min,14265.704799783603,35466.08659488911,13395.77206812366,329.1598084080999,1002.7953581419424,0.0,0.0,1571.7380851486769,0.0
25%,17925.5395784024,59986.853070257916,18411.68405158644,647.4068482521207,1681.4644656896035,0.0,0.0,3469.7050193277696,0.0
50%,18717.292137742446,64529.41963969673,21781.380721917918,1167.7863370026027,2675.135044125404,0.0,0.0,5927.696746810701,0.0
75%,20159.502714074246,68115.09189152537,24637.17273211561,1961.7226691290655,3964.977701299591,0.0,0.0,10212.54385427984,0.0
max,22681.768175508372,75212.03424690297,44481.788205628654,5599.162636186982,7932.967915896155,0.0,0.0,27105.114015606534,0.0
