,generators__OCGT,generators__onwind,generators__solar
mean,21498.797948717947,63221.838974359,21471.42923076923
std,1781.6023920619734,7845.443714209909,7092.245592363678
min,17111.63,35535.35,12329.84
25%,20575.475,60371.755000000005,16774.765
50%,21567.82,64297.59,20286.26
75%,22617.36,68719.73000000001,23227.739999999998
max,25547.34,75040.88,40491.75
