,generators,generators,generators,links,links,links,links,stores,stores
,OCGT,onwind,solar,battery charge,battery discharge,electrolysis,fuel cell,battery storage,Hydrogen storage
mean,20666.303701026507,56209.98157527542,22706.377722872137,444.5266682556306,1369.2764646945334,0.0,0.0,2277.7329903385785,0.0
std,2149.603163888581,11775.131327723753,9193.476619871704,180.98777690255076,458.0740904066168,0.0,0.0,1046.2949179199131,0.0
min,15844.798400574713,9859.609803601224,11889.8791684165,189.5222691760514,649.3284298626975,0.0,0.0,814.0460394023894,0.0
25%,19444.19791466913,55303.90767538515,16697.04329665341,299.99932510252216,1032.8955788725125,0.0,0.0,1521.716224699903,0.0
50%,20560.644290981898,59879.21847246892,20836.55901950827,422.689457496519,1333.9629581483098,0.0,0.0,2208.9347512923346,0.0
75%,22132.999147314284,63257.16122844725,24075.66967228667,535.950385262999,1545.0946070473942,0.0,0.0,2640.943822369796,0.0
max,26700.036778445145,67268.97009452,52702.51128067603,830.2999779247923,2410.553472361702,0.0,0.0,4626.75026488197,0.0
